name,id topology,lambda,approximate depth ,precise depth,SumBranch Lengths,Mean Branchlengths,
norm0.1randtree_10_0.3_.tree.fasta,10,0.3,0.1,0.11094286,41.51742741,0.041558986,
norm0.1randtree_10_0.6_.tree.fasta,10,0.6,0.1,0.110942859,27.56342507,0.027591016,
norm0.1randtree_10_0.8_.tree.fasta,10,0.8,0.1,0.110942859,18.26075684,0.018279036,
norm0.1randtree_10_0_.tree.fasta,10,0,0.1,0.110942859,55.47142975,0.055526957,
norm0.1randtree_10_1_.tree.fasta,10,1,0.1,0.110942859,8.958088617,0.008967056,
norm0.1randtree_1_0.3_.tree.fasta,1,0.3,0.1,0.107749833,39.75944766,0.039799247,
norm0.1randtree_1_0.6_.tree.fasta,1,0.6,0.1,0.107749832,25.64397909,0.025669649,
norm0.1randtree_1_0.8_.tree.fasta,1,0.8,0.1,0.107749832,16.23366671,0.016249917,
norm0.1randtree_1_0_.tree.fasta,1,0,0.1,0.107749832,53.87491625,0.053928845,
norm0.1randtree_1_1_.tree.fasta,1,1,0.1,0.107749832,6.823354322,0.006830185,
norm0.1randtree_2_0.3_.tree.fasta,2,0.3,0.1,0.116867771,43.61251418,0.04365617,
norm0.1randtree_2_0.6_.tree.fasta,2,0.6,0.1,0.116867771,28.79114296,0.028819963,
norm0.1randtree_2_0.8_.tree.fasta,2,0.8,0.1,0.116867771,18.91022881,0.018929158,
norm0.1randtree_2_0_.tree.fasta,2,0,0.1,0.116867771,58.4338854,0.058492378,
norm0.1randtree_2_1_.tree.fasta,2,1,0.1,0.116867771,9.029314667,0.009038353,
norm0.1randtree_3_0.3_.tree.fasta,3,0.3,0.1,0.09521378,35.38060964,0.035416026,
norm0.1randtree_3_0.6_.tree.fasta,3,0.6,0.1,0.09521378,23.15432951,0.023177507,
norm0.1randtree_3_0.8_.tree.fasta,3,0.8,0.1,0.09521378,15.00347609,0.015018495,
norm0.1randtree_3_0_.tree.fasta,3,0,0.1,0.09521378,47.60688977,0.047654544,
norm0.1randtree_3_1_.tree.fasta,3,1,0.1,0.09521378,6.852622673,0.006859482,
norm0.1randtree_4_0.3_.tree.fasta,4,0.3,0.1,0.112356024,42.0827019,0.042124827,
norm0.1randtree_4_0.6_.tree.fasta,4,0.6,0.1,0.112356024,27.98739168,0.028015407,
norm0.1randtree_4_0.8_.tree.fasta,4,0.8,0.1,0.112356024,18.59051821,0.018609127,
norm0.1randtree_4_0_.tree.fasta,4,0,0.1,0.112356024,56.1780121,0.056234246,
norm0.1randtree_4_1_.tree.fasta,4,1,0.1,0.112356024,9.193644729,0.009202848,
norm0.1randtree_5_0.3_.tree.fasta,5,0.3,0.1,0.111900445,42.7173829,0.042760143,
norm0.1randtree_5_0.6_.tree.fasta,5,0.6,0.1,0.111900445,29.48454333,0.029514057,
norm0.1randtree_5_0.8_.tree.fasta,5,0.8,0.1,0.111900445,20.66265028,0.020683334,
norm0.1randtree_5_0_.tree.fasta,5,0,0.1,0.111900445,55.9502225,0.056006229,
norm0.1randtree_5_1_.tree.fasta,5,1,0.1,0.111900445,11.84075723,0.01185261,
norm0.1randtree_6_0.3_.tree.fasta,6,0.3,0.1,0.105244842,39.5877541,0.039627381,
norm0.1randtree_6_0.6_.tree.fasta,6,0.6,0.1,0.105244842,26.5530873,0.026579667,
norm0.1randtree_6_0.8_.tree.fasta,6,0.8,0.1,0.105244842,17.86330944,0.017881191,
norm0.1randtree_6_0_.tree.fasta,6,0,0.1,0.105244842,52.6224209,0.052675096,
norm0.1randtree_6_1_.tree.fasta,6,1,0.1,0.105244842,9.17353158,0.009182714,
norm0.1randtree_7_0.3_.tree.fasta,7,0.3,0.1,0.109874752,41.19912653,0.041240367,
norm0.1randtree_7_0.6_.tree.fasta,7,0.6,0.1,0.109874752,27.46087722,0.027488366,
norm0.1randtree_7_0.8_.tree.fasta,7,0.8,0.1,0.109874752,18.30204434,0.018320365,
norm0.1randtree_7_0_.tree.fasta,7,0,0.1,0.109874752,54.93737585,0.054992368,
norm0.1randtree_7_1_.tree.fasta,7,1,0.1,0.109874752,9.14321146,0.009152364,
norm0.1randtree_8_0.3_.tree.fasta,8,0.3,0.1,0.116010447,44.30978073,0.044354135,
norm0.1randtree_8_0.6_.tree.fasta,8,0.6,0.1,0.116010447,30.61433811,0.030644983,
norm0.1randtree_8_0.8_.tree.fasta,8,0.8,0.1,0.116010447,21.48404302,0.021505549,
norm0.1randtree_8_0_.tree.fasta,8,0,0.1,0.116010447,58.00522335,0.058063287,
norm0.1randtree_8_1_.tree.fasta,8,1,0.1,0.116010447,12.35374794,0.012366114,
norm0.1randtree_9_0.3_.tree.fasta,9,0.3,0.1,0.094744799,35.70960767,0.035745353,
norm0.1randtree_9_0.6_.tree.fasta,9,0.6,0.1,0.094744799,24.04681602,0.024070887,
norm0.1randtree_9_0.8_.tree.fasta,9,0.8,0.1,0.094744799,16.27162158,0.016287909,
norm0.1randtree_9_0_.tree.fasta,9,0,0.1,0.094744799,47.37239933,0.047419819,
norm0.1randtree_9_1_.tree.fasta,9,1,0.1,0.094744799,8.496427148,0.008504932,
normrandtree_10_0.3_.tree.fasta,10,0.3,0.5,0.504913281,188.9504252,0.189139565,
normrandtree_10_0.6_.tree.fasta,10,0.6,0.5,0.50491328,125.4442101,0.12556978,
normrandtree_10_0.8_.tree.fasta,10,0.8,0.5,0.504913281,83.10673336,0.083189923,
normrandtree_10_0_.tree.fasta,10,0,0.5,0.50491328,252.4566403,0.25270935,
normrandtree_10_1_.tree.fasta,10,1,0.5,0.504913281,40.76925664,0.040810067,
normrandtree_1_0.3_.tree.fasta,1,0.3,0.5,0.49038146,180.949664,0.181130795,
normrandtree_1_0.6_.tree.fasta,1,0.6,0.5,0.49038146,116.7085982,0.116825424,
normrandtree_1_0.8_.tree.fasta,1,0.8,0.5,0.49038146,73.88122092,0.073955176,
normrandtree_1_0_.tree.fasta,1,0,0.5,0.49038146,245.1907299,0.245436166,
normrandtree_1_1_.tree.fasta,1,1,0.5,0.49038146,31.05384367,0.031084929,
normrandtree_2_0.3_.tree.fasta,2,0.3,0.5,0.492479824,183.7827758,0.183966743,
normrandtree_2_0.6_.tree.fasta,2,0.6,0.5,0.492479824,121.3256395,0.121447087,
normrandtree_2_0.8_.tree.fasta,2,0.8,0.5,0.492479824,79.68754857,0.079767316,
normrandtree_2_0_.tree.fasta,2,0,0.5,0.492479824,246.2399121,0.246486399,
normrandtree_2_1_.tree.fasta,2,1,0.5,0.492479824,38.04945769,0.038087545,
normrandtree_3_0.3_.tree.fasta,3,0.3,0.5,0.4814761,178.9123174,0.179091409,
normrandtree_3_0.6_.tree.fasta,3,0.6,0.5,0.4814761,117.0865848,0.117203789,
normrandtree_3_0.8_.tree.fasta,3,0.8,0.5,0.4814761,75.86942972,0.075945375,
normrandtree_3_0_.tree.fasta,3,0,0.5,0.4814761,240.73805,0.240979029,
normrandtree_3_1_.tree.fasta,3,1,0.5,0.4814761,34.65227465,0.034686962,
normrandtree_4_0.3_.tree.fasta,4,0.3,0.5,0.51134475,191.5230522,0.191714767,
normrandtree_4_0.6_.tree.fasta,4,0.6,0.5,0.51134475,127.3737293,0.12750123,
normrandtree_4_0.8_.tree.fasta,4,0.8,0.5,0.51134475,84.60751397,0.084692206,
normrandtree_4_0_.tree.fasta,4,0,0.5,0.51134475,255.6723751,0.255928303,
normrandtree_4_1_.tree.fasta,4,1,0.5,0.51134475,41.84129868,0.041883182,
normrandtree_5_0.3_.tree.fasta,5,0.3,0.5,0.509271358,194.411556,0.194606162,
normrandtree_5_0.6_.tree.fasta,5,0.6,0.5,0.509271358,134.1874327,0.134321754,
normrandtree_5_0.8_.tree.fasta,5,0.8,0.5,0.509271358,94.03801726,0.094132149,
normrandtree_5_0_.tree.fasta,5,0,0.5,0.509271358,254.6356792,0.25489057,
normrandtree_5_1_.tree.fasta,5,1,0.5,0.509271358,53.88860178,0.053942544,
normrandtree_6_0.3_.tree.fasta,6,0.3,0.5,0.517299446,194.5817289,0.194776505,
normrandtree_6_0.6_.tree.fasta,6,0.6,0.5,0.517299446,130.5137347,0.130644379,
normrandtree_6_0.8_.tree.fasta,6,0.8,0.5,0.517299446,87.80173857,0.087889628,
normrandtree_6_0_.tree.fasta,6,0,0.5,0.517299446,258.6497232,0.258908632,
normrandtree_6_1_.tree.fasta,6,1,0.5,0.517299446,45.08974242,0.045134877,
normrandtree_7_0.3_.tree.fasta,7,0.3,0.5,0.500052203,187.5018025,0.187689492,
normrandtree_7_0.6_.tree.fasta,7,0.6,0.5,0.500052203,124.9775034,0.125102606,
normrandtree_7_0.8_.tree.fasta,7,0.8,0.5,0.500052203,83.29463734,0.083378015,
normrandtree_7_0_.tree.fasta,7,0,0.5,0.500052203,250.0261016,0.250276378,
normrandtree_7_1_.tree.fasta,7,1,0.5,0.500052203,41.61177127,0.041653425,
normrandtree_8_0.3_.tree.fasta,8,0.3,0.5,0.488867068,186.7210513,0.186907959,
normrandtree_8_0.6_.tree.fasta,8,0.6,0.5,0.488867068,129.0085688,0.129137707,
normrandtree_8_0.8_.tree.fasta,8,0.8,0.5,0.488867068,90.53358048,0.090624205,
normrandtree_8_0_.tree.fasta,8,0,0.5,0.488867068,244.4335338,0.244678212,
normrandtree_8_1_.tree.fasta,8,1,0.5,0.488867068,52.05859214,0.052110703,
normrandtree_9_0.3_.tree.fasta,9,0.3,0.5,0.517432927,195.0220707,0.195217288,
normrandtree_9_0.6_.tree.fasta,9,0.6,0.5,0.517432927,131.3276779,0.131459137,
normrandtree_9_0.8_.tree.fasta,9,0.8,0.5,0.517432927,88.86474934,0.088953703,
normrandtree_9_0_.tree.fasta,9,0,0.5,0.517432927,258.7164635,0.258975439,
normrandtree_9_1_.tree.fasta,9,1,0.5,0.517432927,46.4018208,0.046448269,
5randtree_10_0.3_.tree.fasta,10,0.3,5,5.043438005,1887.373124,1.889262386,
5randtree_10_0.6_.tree.fasta,10,0.6,5,5.043438005,1253.027245,1.254281526,
5randtree_10_0.8_.tree.fasta,10,0.8,5,5.043438005,830.129992,0.830960953,
5randtree_10_0_.tree.fasta,10,0,5,5.043438005,2521.719003,2.524243246,
5randtree_10_1_.tree.fasta,10,1,5,5.043438005,407.2327394,0.40764038,
5randtree_1_0.3_.tree.fasta,1,0.3,5,4.898283699,1807.455751,1.809265016,
5randtree_1_0.6_.tree.fasta,1,0.6,5,4.898283698,1165.769652,1.166936589,
5randtree_1_0.8_.tree.fasta,1,0.8,5,4.898283699,737.97892,0.738717638,
5randtree_1_0_.tree.fasta,1,0,5,4.898283699,2449.14185,2.451593443,
5randtree_1_1_.tree.fasta,1,1,5,4.898283699,310.1881876,0.310498686,
5randtree_2_0.3_.tree.fasta,2,0.3,5,4.919243677,1835.754914,1.837592507,
5randtree_2_0.6_.tree.fasta,2,0.6,5,4.919243676,1211.887991,1.213101092,
5randtree_2_0.8_.tree.fasta,2,0.8,5,4.919243677,795.9767083,0.796773482,
5randtree_2_0_.tree.fasta,2,0,5,4.919243677,2459.621838,2.462083922,
5randtree_2_1_.tree.fasta,2,1,5,4.919243676,380.0654259,0.380445872,
5randtree_3_0.3_.tree.fasta,3,0.3,5,4.809330542,1787.105263,1.788894157,
5randtree_3_0.6_.tree.fasta,3,0.6,5,4.809330541,1169.545255,1.170715971,
5randtree_3_0.8_.tree.fasta,3,0.8,5,4.809330542,757.8385834,0.758597181,
5randtree_3_0_.tree.fasta,3,0,5,4.809330542,2404.665271,2.407072343,
5randtree_3_1_.tree.fasta,3,1,5,4.809330542,346.1319116,0.34647839,
5randtree_4_0.3_.tree.fasta,4,0.3,5,5.107680164,1913.070378,1.914985363,
5randtree_4_0.6_.tree.fasta,4,0.6,5,5.107680164,1272.300674,1.273574248,
5randtree_4_0.8_.tree.fasta,4,0.8,5,5.107680164,845.1208711,0.845966838,
5randtree_4_0_.tree.fasta,4,0,5,5.107680164,2553.840082,2.556396478,
5randtree_4_1_.tree.fasta,4,1,5,5.107680164,417.9410685,0.418359428,
5randtree_5_0.3_.tree.fasta,5,0.3,5,5.08696963,1941.922837,1.943866703,
5randtree_5_0.6_.tree.fasta,5,0.6,5,5.08696963,1340.360858,1.341702561,
5randtree_5_0.8_.tree.fasta,5,0.8,5,5.086969631,939.3195395,0.940259799,
5randtree_5_0_.tree.fasta,5,0,5,5.08696963,2543.484815,2.546030846,
5randtree_5_1_.tree.fasta,5,1,5,5.086969631,538.2782207,0.538817038,
5randtree_6_0.3_.tree.fasta,6,0.3,5,5.167159963,1943.622647,1.945568215,
5randtree_6_0.6_.tree.fasta,6,0.6,5,5.167159963,1303.665313,1.304970283,
5randtree_6_0.8_.tree.fasta,6,0.8,5,5.167159963,877.0270902,0.877904995,
5randtree_6_0_.tree.fasta,6,0,5,5.167159963,2583.579981,2.586166148,
5randtree_6_1_.tree.fasta,6,1,5,5.167159963,450.3888674,0.450839707,
5randtree_7_0.3_.tree.fasta,7,0.3,5,4.99488206,1872.903236,1.874778014,
5randtree_7_0.6_.tree.fasta,7,0.6,5,4.99488206,1248.365442,1.249615057,
5randtree_7_0.8_.tree.fasta,7,0.8,5,4.99488206,832.0069125,0.832839752,
5randtree_7_0_.tree.fasta,7,0,5,4.99488206,2497.44103,2.499940971,
5randtree_7_1_.tree.fasta,7,1,5,4.99488206,415.6483831,0.416064448,
5randtree_8_0.3_.tree.fasta,8,0.3,5,4.883156858,1865.10453,1.866971501,
5randtree_8_0.6_.tree.fasta,8,0.6,5,4.883156858,1288.63063,1.289920551,
5randtree_8_0.8_.tree.fasta,8,0.8,5,4.883156858,904.3146975,0.905219917,
5randtree_8_0_.tree.fasta,8,0,5,4.883156858,2441.578429,2.444022452,
5randtree_8_1_.tree.fasta,8,1,5,4.883156858,519.9987646,0.520519284,
5randtree_9_0.3_.tree.fasta,9,0.3,5,5.168493264,1948.021098,1.949971069,
5randtree_9_0.6_.tree.fasta,9,0.6,5,5.168493264,1311.795564,1.313108673,
5randtree_9_0.8_.tree.fasta,9,0.8,5,5.168493264,887.6452085,0.888533742,
5randtree_9_0_.tree.fasta,9,0,5,5.168493264,2584.246632,2.586833466,
5randtree_9_1_.tree.fasta,9,1,5,5.168493265,463.4948526,0.463958811,